Row_ID,Slice_Type,5QI_Class,Resource_Type,QoS_Priority,Use_Case,Device_Type,Packet_Delay_Budget_ms,Packet_Loss_Rate,Throughput_Mbps,Guaranteed_Bit_Rate_Mbps,Bandwidth_MHz,Signal_Strength_dBm,SNR_dB,Jitter_ms,Network_Load_Percent,Duration_s,Modulation_Type,Num_UEs
29,eMBB,6,Non-GBR,49,Cloud Download,Laptop,184.6047,0.0003663101240511674,12.016545,0.0,200,-75.53,23.37,16.4046,74.06,98.34,64-QAM,60
30,eMBB,5,Non-GBR,50,AR Navigation,Smartphone,183.6114,0.000311050945306717,11.964613,0.0,200,-72.77,23.29,8.3519,75.66,89.83,64-QAM,62
31,eMBB,7,Non-GBR,48,Live Streaming,Laptop,189.4571,0.00042701460903125325,12.446991,0.0,200,-76.33,22.37,10.7364,75.39,76.6,64-QAM,61
32,eMBB,8,Non-GBR,48,AR Navigation,Laptop,202.3329,0.0004273453230348349,11.470929,0.0,200,-76.59,23.35,17.5197,83.38,111.11,64-QAM,70
33,eMBB,3,Non-GBR,53,Video Conferencing,Smartphone,195.5761,0.00043698834203065545,12.25949,0.0,200,-75.57,21.66,17.143,78.39,109.56,64-QAM,66
34,eMBB,6,Non-GBR,54,VR Gaming,Smartphone,185.0672,0.0005059959296423396,12.093152,0.0,100,-76.17,23.26,10.5345,75.84,56.75,64-QAM,62
35,eMBB,1,Non-GBR,49,VR Gaming,Smart TV,184.907,0.0005274521555490366,11.824447,0.0,50,-79.15,20.27,11.4899,82.03,94.97,64-QAM,66
36,eMBB,8,Non-GBR,47,Video Conferencing,Smartphone,200.2829,0.0006246668138508013,11.310513,0.0,200,-74.64,22.32,10.2605,76.43,90.01,64-QAM,65
37,eMBB,1,Non-GBR,52,Live Streaming,Smart TV,192.7148,0.0006412346112854853,10.559322,0.0,200,-76.37,21.62,18.3616,81.23,71.77,64-QAM,68
38,eMBB,4,Non-GBR,53,Live Streaming,Tablet,200.7749,0.0005559763674100114,11.166807,0.0,50,-74.04,22.82,7.6907,75.2,14.45,64-QAM,61
39,eMBB,6,Non-GBR,48,Cloud Download,AR Headset,207.666,0.0005867407537038507,11.315178,0.0,50,-76.58,21.69,19.8035,77.55,23.85,64-QAM,66
40,eMBB,9,Non-GBR,49,Live Streaming,Tablet,200.2415,0.0004662415864067195,10.76654,0.0,50,-74.07,21.55,15.5929,82.56,87.56,64-QAM,67
41,eMBB,8,Non-GBR,53,AR Navigation,Tablet,201.2199,0.0004796659207363705,10.304473,0.0,50,-78.67,22.78,13.524,84.59,24.5,64-QAM,71
42,eMBB,8,Non-GBR,50,AR Navigation,AR Headset,208.2401,0.0004791198911962979,10.398148,0.0,50,-73.23,21.02,6.7233,83.26,65.13,64-QAM,67
43,eMBB,4,Non-GBR,54,Cloud Download,AR Headset,201.7653,0.00046346607420682335,11.486905,0.0,50,-80.05,19.31,12.7701,82.76,41.81,64-QAM,68
44,eMBB,2,Non-GBR,51,Video Conferencing,Laptop,197.6182,0.00045676118911966657,11.454719,0.0,100,-75.64,24.37,11.569,82.53,17.04,64-QAM,70
45,eMBB,1,Non-GBR,46,Live Streaming,Tablet,191.7411,0.0003264787871628036,10.812207,0.0,50,-74.91,24.14,7.9161,79.3,8.78,64-QAM,65
46,eMBB,9,Non-GBR,51,AR Navigation,Smartphone,184.6706,0.00031057806518857334,10.901337,0.0,50,-77.96,19.88,14.0255,81.85,49.15,64-QAM,69
47,eMBB,2,Non-GBR,50,Video Conferencing,AR Headset,181.2997,0.00033451398507657,10.970115,0.0,100,-75.73,22.75,17.7638,82.88,59.6,64-QAM,70
48,eMBB,3,Non-GBR,52,Video Conferencing,Smart TV,175.5851,0.0011432717636513613,9.822945,0.0,50,-74.97,20.48,12.1774,87.66,107.88,64-QAM,73
49,eMBB,6,Non-GBR,53,VR Gaming,Tablet,178.3871,0.002709155475474192,10.175536,0.0,200,-81.58,21.82,14.2768,85.72,11.11,64-QAM,69
50,eMBB,2,Non-GBR,46,Cloud Download,Smartphone,175.2514,0.002792716723463867,10.393247,0.0,200,-74.91,22.48,6.0973,79.57,21.81,64-QAM,65
51,eMBB,8,Non-GBR,48,VR Gaming,AR Headset,179.3427,0.006124717644163113,11.04814,0.0,50,-82.18,21.05,10.6237,85.99,30.52,64-QAM,70
52,eMBB,6,Non-GBR,54,AR Navigation,AR Headset,171.6977,0.005420866599473683,12.187379,0.0,100,-78.73,20.43,6.5494,83.99,67.39,64-QAM,69
53,eMBB,8,Non-GBR,45,Video Conferencing,Tablet,176.8331,0.00440587755172219,12.800676,0.0,200,-73.39,20.64,12.8904,83.22,46.87,64-QAM,67
54,eMBB,7,Non-GBR,49,Cloud Download,Laptop,184.3126,0.009526354704862985,12.630328,0.0,100,-78.6,19.91,17.6376,87.17,89.46,64-QAM,72
55,eMBB,2,Non-GBR,45,Live Streaming,Laptop,173.4513,0.029333022150440525,12.072723,0.0,200,-80.04,19.9,13.2386,88.48,29.94,64-QAM,72
56,eMBB,8,Non-GBR,51,AR Navigation,Smart TV,178.9454,0.04567299033152721,13.444644,0.0,50,-78.04,21.08,6.3304,88.22,30.76,64-QAM,71
57,eMBB,2,Non-GBR,50,Live Streaming,Smartphone,187.9858,0.03147089164804615,13.35958,0.0,100,-72.45,20.63,10.3066,82.93,90.41,64-QAM,70
58,eMBB,3,Non-GBR,49,Live Streaming,Tablet,180.7369,0.02301881422657643,13.270437,0.0,100,-80.57,22.57,12.3889,84.51,48.41,64-QAM,69
59,eMBB,3,Non-GBR,48,VR Gaming,AR Headset,192.4016,0.04063121207343667,13.181373,0.0,100,-79.38,23.59,11.2025,86.41,96.46,64-QAM,71
60,eMBB,3,Non-GBR,45,AR Navigation,Tablet,194.382,0.0979648390196076,13.222437,0.0,200,-74.66,20.3,17.1746,88.3,46.21,64-QAM,73
61,eMBB,1,Non-GBR,52,Cloud Download,AR Headset,188.8235,0.049660887998823545,13.091711,0.0,200,-73.06,21.97,16.4327,83.87,36.68,64-QAM,69
62,eMBB,2,Non-GBR,45,Live Streaming,Smartphone,188.3438,0.030162312428193117,12.771463,0.0,200,-77.14,22.28,13.7167,84.66,32.43,64-QAM,69
63,eMBB,3,Non-GBR,48,Cloud Download,Smart TV,191.3869,0.019347774886460424,12.518097,0.0,50,-78.84,22.53,10.7449,81.8,12.28,64-QAM,69
64,eMBB,9,Non-GBR,50,VR Gaming,Laptop,190.8925,0.012172141821015645,12.56516,0.0,200,-72.09,21.97,9.1387,81.41,16.09,64-QAM,66
65,eMBB,7,Non-GBR,53,Video Conferencing,Smart TV,193.8035,0.030469408663844445,12.355122,0.0,50,-74.27,22.38,7.2504,87.3,71.16,64-QAM,70
66,eMBB,3,Non-GBR,49,Video Conferencing,Smart TV,187.5089,0.0681013687555339,12.097096,0.0,100,-76.4,21.85,10.2835,88.78,4.7,64-QAM,74
67,eMBB,6,Non-GBR,52,AR Navigation,Smart TV,188.6127,0.027363458188125897,12.292552,0.0,100,-78.49,19.71,11.1135,84.33,115.4,64-QAM,71
68,eMBB,4,Non-GBR,46,Video Conferencing,Smartphone,180.2714,0.06806660422171829,12.283047,0.0,50,-77.57,22.57,13.9363,87.37,50.29,64-QAM,70
69,eMBB,8,Non-GBR,48,AR Navigation,Laptop,181.2222,0.08787372484494631,13.159434,0.0,200,-77.37,22.81,13.7858,85.25,85.2,64-QAM,72
70,eMBB,2,Non-GBR,52,VR Gaming,Smartphone,176.9362,0.057157871597851705,11.831784,0.0,50,-75.74,20.65,6.1764,82.02,91.83,64-QAM,66
71,eMBB,9,Non-GBR,47,Live Streaming,Smart TV,174.7694,0.039832698965920565,12.57934,0.0,100,-74.06,21.58,10.0786,84.82,88.62,64-QAM,71
72,eMBB,5,Non-GBR,53,Cloud Download,AR Headset,185.1625,0.0609270361704102,13.29679,0.0,100,-75.86,22.21,7.911,88.12,49.24,64-QAM,73
73,eMBB,9,Non-GBR,54,Live Streaming,Laptop,192.1613,0.03174271745073554,12.251541,0.0,50,-78.78,21.37,7.8742,83.15,54.23,64-QAM,68
74,eMBB,9,Non-GBR,50,VR Gaming,Smartphone,195.2766,0.04975844938099337,12.233003,0.0,200,-74.79,22.84,17.167,87.7,34.78,64-QAM,73
75,eMBB,1,Non-GBR,45,Video Conferencing,Laptop,186.4066,0.027537565017010678,12.207357,0.0,200,-74.35,26.06,6.1391,74.88,20.11,64-QAM,60
76,eMBB,2,Non-GBR,53,AR Navigation,Tablet,184.8709,0.016083039518057715,11.671925,0.0,50,-75.61,20.33,10.9708,84.93,117.02,64-QAM,70
77,eMBB,4,Non-GBR,49,VR Gaming,Laptop,192.5957,0.012242023157055967,11.535972,0.0,50,-73.56,19.68,8.0455,82.45,13.98,64-QAM,67
78,eMBB,4,Non-GBR,50,Cloud Download,AR Headset,192.2173,0.010617246813447577,11.258263,0.0,200,-78.42,22.36,17.5981,81.0,34.83,64-QAM,67
79,eMBB,5,Non-GBR,46,VR Gaming,Tablet,205.0593,0.009515280362837044,12.457777,0.0,100,-76.45,22.89,14.1476,81.88,17.02,64-QAM,66
80,eMBB,1,Non-GBR,51,AR Navigation,Smartphone,203.1887,0.006024402176880945,13.073122,0.0,50,-76.13,22.12,9.3866,75.35,72.07,64-QAM,61
81,eMBB,4,Non-GBR,54,Live Streaming,Tablet,200.9346,0.004299945316559151,13.76807,0.0,200,-79.21,24.15,13.0949,80.35,96.71,64-QAM,67
82,eMBB,1,Non-GBR,46,AR Navigation,Tablet,196.2524,0.002435839819872428,14.087711,0.0,200,-75.66,19.81,15.9365,81.77,36.77,64-QAM,67
83,eMBB,1,Non-GBR,45,AR Navigation,Smartphone,195.4374,0.0017364315731618542,13.437831,0.0,100,-71.94,22.56,18.9708,84.82,30.93,64-QAM,70
84,eMBB,7,Non-GBR,45,Live Streaming,Tablet,192.5022,0.0017863365494154256,13.191395,0.0,100,-79.38,21.24,8.7456,78.52,7.32,64-QAM,64
85,eMBB,3,Non-GBR,45,Live Streaming,Tablet,195.2109,0.0020646703283308514,13.492476,0.0,100,-75.53,24.85,17.9658,77.34,99.0,64-QAM,65
86,eMBB,2,Non-GBR,49,Live Streaming,AR Headset,198.9239,0.001387385404371126,12.896156,0.0,100,-74.31,25.19,18.9776,77.94,95.57,64-QAM,64
87,eMBB,9,Non-GBR,46,AR Navigation,Smartphone,191.7924,0.0011005574716104582,13.360268,0.0,100,-76.13,20.66,18.0571,81.88,28.65,64-QAM,69
88,eMBB,6,Non-GBR,54,Live Streaming,AR Headset,182.629,0.0009962839623114815,13.281427,0.0,50,-76.19,21.2,13.602,79.81,85.32,64-QAM,66
89,eMBB,7,Non-GBR,54,VR Gaming,AR Headset,172.0083,0.0009657538670746615,13.150398,0.0,200,-77.98,23.6,12.7437,76.92,92.54,64-QAM,63
90,eMBB,6,Non-GBR,50,VR Gaming,Tablet,177.8305,0.0007687596848196332,13.585053,0.0,50,-75.48,21.45,10.3541,79.73,7.66,64-QAM,67
91,eMBB,1,Non-GBR,49,VR Gaming,Smart TV,172.6799,0.0007893998001722252,13.824205,0.0,50,-77.15,22.11,14.2751,78.17,46.82,64-QAM,66
92,eMBB,8,Non-GBR,54,AR Navigation,Tablet,162.4699,0.0006848423729678645,13.627818,0.0,50,-80.48,21.99,10.9164,80.48,47.14,64-QAM,68
93,eMBB,6,Non-GBR,49,Video Conferencing,Laptop,169.0723,0.0006577183633929691,14.22389,0.0,50,-72.64,19.6,13.0897,75.17,70.48,64-QAM,61
94,eMBB,2,Non-GBR,53,VR Gaming,Tablet,187.0549,0.0007038081826213669,13.61311,0.0,50,-73.28,22.38,11.2218,75.99,89.56,64-QAM,63
95,eMBB,9,Non-GBR,47,VR Gaming,Laptop,186.4026,0.0006763164897969718,13.945107,0.0,100,-75.0,21.42,15.1368,75.5,61.15,64-QAM,64
96,eMBB,6,Non-GBR,48,VR Gaming,Smartphone,190.6327,0.0006018628101132027,14.218448,0.0,100,-73.94,22.06,16.721,72.0,82.93,64-QAM,59
97,eMBB,3,Non-GBR,45,AR Navigation,AR Headset,189.9264,0.0005768533561538433,14.00193,0.0,200,-73.25,24.47,7.6446,76.99,88.39,64-QAM,65
98,eMBB,9,Non-GBR,52,Video Conferencing,Tablet,188.2424,0.0005578853238098095,14.138094,0.0,50,-74.87,20.45,16.6228,76.61,27.53,64-QAM,62
99,eMBB,9,Non-GBR,47,VR Gaming,Tablet,192.9095,0.0005143219536046332,13.467479,0.0,200,-73.31,23.66,13.0833,75.57,64.12,64-QAM,63
100,eMBB,7,Non-GBR,53,VR Gaming,Tablet,189.2984,0.0004887193903936066,13.987195,0.0,100,-75.51,22.12,16.8715,74.58,69.58,64-QAM,60
101,eMBB,3,Non-GBR,53,AR Navigation,Smart TV,189.4135,0.0006578707783683327,13.876558,0.0,100,-71.53,22.5,11.401,70.78,40.69,64-QAM,57
102,eMBB,2,Non-GBR,52,Video Conferencing,Smartphone,190.0775,0.0007058520509260138,13.615576,0.0,100,-74.06,23.83,10.7456,73.52,57.65,64-QAM,59
103,eMBB,6,Non-GBR,50,VR Gaming,Laptop,184.6691,0.0006413661194089871,14.181477,0.0,50,-74.31,23.16,17.3689,73.51,4.06,64-QAM,60
104,eMBB,1,Non-GBR,53,VR Gaming,Laptop,190.1579,0.0007077600508546599,13.787585,0.0,50,-76.92,23.67,9.0481,71.89,56.13,64-QAM,60
105,eMBB,6,Non-GBR,45,Video Conferencing,Tablet,187.6997,0.0006383671955293744,13.102388,0.0,100,-74.14,24.09,16.7231,73.59,79.29,64-QAM,61
106,eMBB,9,Non-GBR,47,AR Navigation,Tablet,182.3813,0.0007694642829417502,12.447453,0.0,200,-76.68,22.0,11.6508,75.07,100.27,64-QAM,62
107,eMBB,2,Non-GBR,45,VR Gaming,Tablet,186.2615,0.000782156440125713,12.973545,0.0,200,-77.14,21.15,12.2908,79.3,96.28,64-QAM,66
108,eMBB,2,Non-GBR,53,AR Navigation,AR Headset,180.2756,0.0007267593360508509,12.478868,0.0,100,-76.42,20.98,9.3009,73.97,103.13,64-QAM,60
109,eMBB,8,Non-GBR,47,Video Conferencing,Laptop,181.0519,0.0007546012143041374,13.577268,0.0,200,-76.94,21.36,12.6941,74.03,6.76,64-QAM,62
110,eMBB,1,Non-GBR,48,Live Streaming,AR Headset,181.343,0.0005377714080013955,12.593707,0.0,100,-70.32,27.14,9.5685,72.85,45.57,64-QAM,60
111,eMBB,5,Non-GBR,49,Video Conferencing,Laptop,187.6323,0.0004331726082726476,13.647933,0.0,200,-70.77,25.15,6.1447,67.14,26.24,64-QAM,54
112,eMBB,4,Non-GBR,52,Cloud Download,AR Headset,189.4927,0.0003536910479671582,13.802262,0.0,100,-70.69,20.71,9.2927,72.65,63.98,64-QAM,60
113,eMBB,6,Non-GBR,49,Cloud Download,Laptop,187.992,0.0003785306301910775,13.780431,0.0,200,-77.0,20.74,5.7237,72.76,105.4,64-QAM,62
114,eMBB,9,Non-GBR,48,Cloud Download,Smartphone,192.4838,0.000538525788059899,13.538523,0.0,50,-75.82,22.74,18.9567,79.82,83.92,64-QAM,64
115,eMBB,6,Non-GBR,54,AR Navigation,Laptop,198.7823,0.0008050857441543358,13.805579,0.0,100,-76.93,23.65,19.4016,71.71,19.49,64-QAM,58
116,eMBB,8,Non-GBR,47,Live Streaming,Smart TV,198.9485,0.0008551879420697893,13.814737,0.0,100,-76.0,23.52,11.4715,73.06,6.4,64-QAM,61
117,eMBB,5,Non-GBR,46,VR Gaming,Smart TV,195.695,0.0008793426523937477,14.393433,0.0,200,-76.22,22.42,15.8485,71.93,97.53,64-QAM,58
118,eMBB,1,Non-GBR,48,Live Streaming,Smartphone,184.8427,0.0005897269079844495,14.391127,0.0,100,-71.2,22.97,10.0197,68.42,105.93,64-QAM,56
119,eMBB,2,Non-GBR,45,Video Conferencing,Laptop,178.2558,0.0005231609592406891,14.407442,0.0,100,-75.84,22.97,13.7215,75.25,1.35,64-QAM,63
120,eMBB,4,Non-GBR,49,Live Streaming,AR Headset,177.4314,0.00045004173311013725,14.164486,0.0,100,-72.66,22.73,15.3265,73.98,61.32,64-QAM,63
121,eMBB,6,Non-GBR,45,Video Conferencing,Laptop,174.9486,0.00040650982494177694,14.111339,0.0,50,-73.59,19.27,16.8428,74.01,77.23,64-QAM,61
122,eMBB,7,Non-GBR,45,AR Navigation,Laptop,175.0311,0.00040402423439868455,14.248464,0.0,50,-69.16,22.77,10.1544,68.82,9.54,64-QAM,59
123,eMBB,6,Non-GBR,52,Live Streaming,Laptop,177.1763,0.00037996857521282914,13.355861,0.0,200,-78.1,21.15,15.03,75.68,52.61,64-QAM,64
124,eMBB,9,Non-GBR,48,Live Streaming,AR Headset,180.9673,0.0002727158468167757,12.777861,0.0,50,-70.92,23.54,8.7977,67.2,23.7,64-QAM,57
125,eMBB,4,Non-GBR,45,Live Streaming,Smartphone,180.9302,0.0003366156864901364,13.331904,0.0,200,-72.33,27.17,17.9706,73.1,101.18,64-QAM,59
126,eMBB,7,Non-GBR,49,AR Navigation,Smartphone,184.6703,0.000289691122709105,13.516157,0.0,50,-77.52,22.77,5.8732,77.86,96.68,64-QAM,64
127,eMBB,6,Non-GBR,48,AR Navigation,Smartphone,184.2667,0.0003232355462296985,13.494761,0.0,200,-71.64,22.7,13.3127,68.26,29.17,64-QAM,56
128,eMBB,6,Non-GBR,50,Cloud Download,Tablet,171.8145,0.0004990911104651239,13.577092,0.0,50,-73.23,24.43,13.0863,69.49,48.84,64-QAM,56
129,eMBB,2,Non-GBR,47,VR Gaming,Smartphone,168.2454,0.0004214284856558908,13.810854,0.0,50,-74.74,23.58,13.1506,71.44,98.59,64-QAM,60
130,eMBB,1,Non-GBR,53,Video Conferencing,AR Headset,169.9953,0.0002699046829291484,13.564986,0.0,200,-75.57,23.67,6.5324,69.59,99.83,64-QAM,59
131,eMBB,7,Non-GBR,47,Live Streaming,Smart TV,164.7155,0.00027571553204606486,13.235728,0.0,100,-74.72,24.27,15.7628,66.42,41.86,64-QAM,55
132,eMBB,5,Non-GBR,51,Cloud Download,Laptop,171.7836,0.0003627096043605868,13.441833,0.0,100,-70.15,25.96,7.3322,71.24,30.22,64-QAM,57
133,eMBB,9,Non-GBR,54,Live Streaming,Tablet,182.7149,0.0005406997463059842,13.028712,0.0,50,-73.56,21.52,13.4465,67.82,23.39,64-QAM,58
134,eMBB,7,Non-GBR,49,Live Streaming,Smart TV,189.9999,0.0004270845480192828,13.369567,0.0,200,-72.91,23.47,8.6616,72.39,9.89,64-QAM,60
135,eMBB,3,Non-GBR,48,Live Streaming,Laptop,186.856,0.00047694086408351147,12.60247,0.0,100,-75.22,21.79,9.624,68.19,98.11,64-QAM,57
136,eMBB,3,Non-GBR,53,AR Navigation,Smart TV,195.23,0.000440251002993487,13.314801,0.0,200,-76.67,23.28,13.3249,75.57,9.62,64-QAM,64
137,eMBB,4,Non-GBR,45,Cloud Download,AR Headset,193.2443,0.0004383861689672499,13.640395,0.0,100,-71.54,21.77,11.4407,68.54,80.17,64-QAM,57
138,eMBB,4,Non-GBR,48,Live Streaming,Smart TV,188.863,0.0007248662691070753,13.807157,0.0,200,-76.68,22.38,7.7841,69.89,53.76,64-QAM,57
139,eMBB,2,Non-GBR,49,Cloud Download,Smartphone,184.0038,0.0005256125401426872,14.310426,0.0,50,-75.48,22.23,7.7218,73.26,94.18,64-QAM,60
140,eMBB,9,Non-GBR,53,VR Gaming,Smartphone,181.4269,0.0005474713608143156,15.077686,0.0,200,-73.35,24.75,10.7532,67.1,82.74,64-QAM,55
141,eMBB,1,Non-GBR,45,Live Streaming,Smartphone,179.2416,0.0005902688853673082,15.402296,0.0,100,-74.06,24.23,14.8788,71.43,53.98,64-QAM,60
142,eMBB,5,Non-GBR,49,Live Streaming,AR Headset,181.1327,0.0007067457582333651,14.248483,0.0,50,-75.28,20.67,16.8195,74.63,56.4,64-QAM,61
143,eMBB,9,Non-GBR,50,VR Gaming,Smartphone,181.7954,0.0006903457859259983,13.546182,0.0,200,-72.38,23.5,6.5244,65.84,54.89,64-QAM,53
144,eMBB,1,Non-GBR,54,VR Gaming,Smartphone,181.8598,0.0007029090265569237,13.274299,0.0,100,-72.85,21.82,10.4601,71.17,113.23,64-QAM,58
145,eMBB,8,Non-GBR,51,Video Conferencing,Tablet,184.5299,0.0006277919479020171,13.366247,0.0,50,-72.8,20.98,6.8308,71.34,29.45,64-QAM,59
146,eMBB,3,Non-GBR,51,Live Streaming,Laptop,191.3235,0.0006419251747544697,13.687684,0.0,200,-76.54,22.39,5.9619,72.84,2.82,64-QAM,61
147,eMBB,5,Non-GBR,54,AR Navigation,Smartphone,194.7604,0.0005847999105478824,13.336602,0.0,100,-73.91,22.87,14.8642,66.71,7.46,64-QAM,55
148,eMBB,1,Non-GBR,45,VR Gaming,Smartphone,182.8737,0.0006435296679745768,13.49174,0.0,200,-70.89,27.0,13.1983,66.39,1.58,64-QAM,57
149,eMBB,4,Non-GBR,46,Cloud Download,AR Headset,167.4399,0.000583240828673292,13.149738,0.0,200,-72.58,23.47,6.9339,71.83,2.69,64-QAM,58
150,eMBB,8,Non-GBR,50,VR Gaming,Smartphone,175.953,0.0006137487211017151,12.928077,0.0,50,-76.96,20.83,8.1584,71.06,119.35,64-QAM,59
151,eMBB,9,Non-GBR,48,Cloud Download,Smartphone,168.9343,0.000595617025727639,12.339107,0.0,50,-73.46,22.07,5.3484,70.81,15.69,64-QAM,57
152,eMBB,5,Non-GBR,46,Live Streaming,Laptop,170.1874,0.00071768103788456,12.077114,0.0,100,-78.15,24.43,15.0524,70.98,24.57,64-QAM,60
153,eMBB,7,Non-GBR,54,Cloud Download,Tablet,165.2293,0.0006807452156502443,11.637019,0.0,50,-73.46,26.35,16.2302,67.78,79.86,64-QAM,57
154,eMBB,7,Non-GBR,49,Video Conferencing,Tablet,157.7055,0.0004732169031511611,11.447572,0.0,100,-70.28,20.58,6.2266,70.38,82.76,64-QAM,59
155,eMBB,5,Non-GBR,48,AR Navigation,Laptop,165.7499,0.0006010119950478745,12.297936,0.0,200,-75.98,20.14,7.6582,70.41,96.62,64-QAM,58
156,eMBB,9,Non-GBR,51,VR Gaming,Smart TV,173.2049,0.0004975479938291531,12.015768,0.0,200,-75.11,26.08,15.725,67.22,68.84,64-QAM,54
157,eMBB,8,Non-GBR,50,Video Conferencing,Tablet,171.8356,0.000441356854046625,13.563266,0.0,100,-73.43,23.11,16.299,74.79,10.35,64-QAM,63
158,eMBB,1,Non-GBR,50,Live Streaming,Smartphone,158.2599,0.00040145658625721054,13.805466,0.0,200,-77.17,21.66,9.3965,70.42,39.28,64-QAM,60
